sensor,value
L,0
R,150.343
L,3.11515
R,1.63045
L,2.82639
R,0.843972
L,1.97731
R,2.78544
L,0.922597
R,0.426562
L,0.39532
R,1.82702
L,5.66917
R,1.51244
L,0.302591
R,1.08056
L,9.8616
R,1.114
L,4.0133
R,1.42006
L,2.38561
R,3.588
L,3.26921
R,0.303667
L,0.0887343
R,1.56141
L,2.18555
R,5.12216
L,0.54375
R,2.22356
L,0.17714
R,5.79782
L,0.653946
R,6.89533
L,0.612484
R,4.38051
L,3.35522
R,4.57133
L,1.342
R,2.08948
L,0.749427
R,2.59904
L,2.09642
R,0.564284
L,0.233267
R,1.3609
L,0.520036
R,0.376452
L,3.395
R,2.2214
L,2.80454
R,10.7501
L,1.0046
R,0.137799
L,0.926621
R,0.958369
L,2.17985
R,3.29394
L,1.20773
R,2.77963
L,0.728039
R,0.941743
L,0.146073
R,1.0824
L,0.621928
R,0.715431
L,0.530068
R,2.2316
L,1.35593
R,1.31069
L,0.206944
R,2.43428
L,0.909009
R,0.429479
L,1.2125
R,1.03564
L,1.30337
R,0.330154
L,1.02283
R,0.673184
L,3.55256
R,3.24679
L,2.13853
R,0.282329
L,1.33004
R,2.03322
L,2.96194
R,0.379651
L,4.05393
R,0.720916
L,3.55496
R,1.70156
L,1.40009
R,7.61013
L,1.32138
R,2.84081
L,2.40115
R,4.96396
L,0.00214056
R,9.9052
L,4.65703
R,3.8124
L,1.20755
R,3.30187
L,1.71348
R,1.9203
L,0.824206
R,1.35654
L,1.54301
R,0.808599
L,0.587292
R,1.39884
L,1.35139
R,3.25712
L,2.08341
R,7.36209
L,2.39282
R,1.12756
L,0.595101
R,1.77512
L,0.327527
R,0.185516
L,0.612088
R,7.02213
L,2.09335
R,5.5642
L,3.37031
R,2.28678
L,1.30374
R,2.09006
L,1.11631
R,6.60031
L,0.699727
R,1.69186
L,0.159308
R,3.17338
L,2.7223
R,3.27185
L,0.655826
R,10.111
L,0.6885
R,3.39996
L,1.03022
R,5.52671
L,2.17127
R,2.06338
L,0.645205
R,1.11273
L,0.64361
R,0.275681
L,1.28404
R,2.23491
L,0.417193
R,1.86389
L,2.34995
R,2.53129
L,0.115294
R,0.996419
L,2.03056
R,1.11155
L,0.664733
R,4.22531
L,0.467946
R,4.99012
L,3.74315
R,0.988961
L,1.26848
R,1.33902
L,0.245048
R,1.43714
L,4.08776
R,4.09666
L,3.34794
R,0.0294153
L,0.163522
R,3.17699
L,2.84616
R,0.402932
L,0.262543
R,0.665636
L,0.18688
R,3.07525
L,0.464696
R,1.35799
L,2.24769
R,1.8035
L,2.06557
R,4.41905
L,0.518829
R,1.72317
L,1.0067
R,0.94566
L,1.22724
R,6.42491
L,2.71702
R,3.77371
L,1.24204
R,1.8322
L,6.34832
R,1.95483
L,0.0183965
R,2.11039
L,0.510209
R,4.36328
L,2.26553
R,0.374826
L,1.94289
R,1.81196
L,0.647018
R,1.15327
L,2.03837
R,2.26171
L,0.37496
R,1.72487
L,0.750626
R,1.14868
L,4.54712
R,0.288068
L,0.877578
R,1.35633
L,3.985
R,2.19032
L,0.38115
R,3.24757
L,0.392869
R,2.84871
L,5.16137
R,1.76127
L,3.56445
R,1.1541
L,1.22287
R,0.788024
L,2.26415
R,0.672182
L,0.766
R,2.51494
L,3.71189
R,1.98429
L,0.199721
R,2.93264
L,0.724172
R,5.22622
L,1.08706
R,5.40122
L,0.696175
R,1.53509
L,1.77952
R,2.43104
L,0.133086
R,4.80745
L,2.3595
R,2.45203
L,1.09872
R,0.134901
L,2.34631
R,2.29901
L,2.30012
R,1.28139
L,0.852087
R,3.93582
L,0.089335
R,1.18917
L,1.27516
R,0.11639
L,0.501195
R,4.38774
L,1.01063
R,0.439442
L,5.52138
R,1.07561
L,3.40196
R,5.60896
L,1.47475
R,5.73397
L,1.36319
R,3.38241
L,2.19003
R,5.36161
L,1.39356
R,2.5783
L,1.42879
R,2.16247
L,0.220824
R,4.25201
L,0.956409
R,1.37933
L,1.70763
R,0.289936
L,1.71691
R,4.27287
L,5.48289
R,0.56493
L,0.49442
R,0.374838
L,1.10954
R,1.50706
L,0.203389
R,2.68049
L,2.10612
R,0.345079
L,0.0448539
R,4.82363
L,3.65475
R,1.43288
L,0.702129
R,6.86078
L,0.803016
R,0.728344
L,3.77185
R,1.86212
L,3.49968
R,1.39882
L,3.03718
R,1.70085
L,2.79498
R,0.639742
L,0.679144
R,2.48093
L,1.68059
R,1.46716
L,4.93752
R,2.69407
L,1.99272
R,3.09768
L,0.941341
R,2.35193
L,0.565007
R,0.493172
L,2.25732
R,4.3922
L,4.95149
R,1.46517
L,1.96992
R,1.90873
L,0.713533
R,4.69748
L,2.02245
R,7.63696
L,0.465689
R,1.67157
L,0.313793
R,0.445939
L,1.62288
R,1.79884
L,0.287984
R,3.76744
L,3.18435
R,1.15184
L,1.64498
R,5.06184
L,13.2699
R,1.74312
L,0.763857
R,2.60489
L,0.991718
R,1.97808
L,1.1255
R,5.04703
L,0.0537121
R,2.48171
L,1.70688
R,0.729602
L,7.03857
R,3.4372
L,2.57115
R,1.39986
L,0.758187
R,0.77478
L,2.01178
R,2.01322
L,3.42507
R,3.48332
L,4.81358
R,0.340625
L,3.15555
R,1.88867
L,0.199857
R,1.1714
L,0.543085
R,6.17879
L,0.735417
R,0.179799
L,0.291843
R,11.0318
L,1.37419
R,3.53056
L,4.36735
R,0.613468
L,1.5642
R,1.3092
L,4.51579
R,1.19719
L,0.594666
R,2.19764
L,1.61203
R,1.53796
L,0.0438842
R,5.03707
L,0.820855
R,2.31315
L,2.13271
R,2.75617
L,0.597337
R,1.94679
L,2.2918
R,6.73741
L,0.67304
R,8.85343
L,0.443162
R,0.202627
L,0.371494
R,0.714778
L,0.710497
R,2.63108
L,1.70648
R,2.20823
L,0.298917
R,1.08736
L,3.56688
R,0.524304
L,2.22257
R,8.87257
L,0.406028
R,2.28975
L,1.04241
R,0.717219
L,1.18568
R,3.16174
L,0.116467
R,3.79811
L,0.0321471
R,1.20292
L,5.10175
R,5.35266
L,1.1105
R,1.46167
L,0.327179
R,1.67506
L,2.20378
R,5.87598
L,0.0684563
R,1.55735
L,4.05356
R,4.77541
L,3.51871
R,5.13137
L,1.77412
R,1.62071
L,0.475627
R,0.599141
L,0.460031
R,5.14735
L,6.60223
R,1.58286
L,0.999612
R,4.32398
L,2.51401
R,3.35418
L,0.5071
R,0.410543
L,0.668295
R,0.0213569
L,1.29867
R,0.427612
L,1.36681
R,0.17199
L,1.75595
R,7.416
L,0.198713
R,6.01353
L,2.00471
R,0.620067
L,8.14643
R,1.45404
L,0.365199
R,0.392063
L,4.43151
R,1.51656
L,1.30986
R,0.458705
L,2.56903
R,2.94406
L,0.536519
R,6.40869
L,2.5199
R,0.753017
L,1.22181
R,5.10073
L,2.36112
R,3.60842
L,1.05558
R,2.25519
L,1.54432
R,5.95631
L,3.0573
R,1.50489
L,8.10992
R,2.05678
L,1.00805
